           0   0.00000000    
           1   7.61401840E-03
           2   3.04641426E-02
           3   6.85369968E-02
           4  0.121827789    
           5  0.190347716    
           6  0.274071395    
           7  0.373019099    
           8  0.487174273    
           9  0.616506040    
          10  0.761028409    
          11  0.920718133    
          13  0.192110091    
          14  0.399512440    
          15  0.622224987    
          16  0.860212147    
          18  0.271510661    
          19  0.558412611    
          20  0.860702574    
          22  0.336986333    
          23  0.689453483    
          25  0.387544245    
          26  0.790700138    
          28  0.439649165    
          29  0.895066440    
          31  0.493598670    
          33  0.530710936    
          35  0.568891466    
          37  0.608232379    
          39  0.648863614    
          41  0.690888822    
          43  0.734440863    
          45  0.779688776    
          47  0.826735914    
          49  0.875742555    
          51  0.926836371    
          53  0.980185330    
